entity_key,source_handle,dwg_type,source_layer,text,canonical_disposition,delivery_feature_count,delivery_layers,meaning,definition_entity_key,definition_retained_in_canonical_ledger,instance_parent_keys,all_instance_parents_retained_in_canonical_ledger,instance_parent_dispositions
0f25cabac6e984e4ba426c7c46fc93732d488d2f9b6b6bc51434131be2f9f078,18B1,LWPOLYLINE,Basic Map,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
0f350edae6c7bcbc4f36fe235b477eff16b52310aed608633a7e67abed92d2a7,64BC,LWPOLYLINE,FDT STRUCTURE,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
0f6b96f8bcd810b03ec04a15215a37328f928a7eafb73e333668cfaccc0faa34,6821,LWPOLYLINE,FDT STRUCTURE,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
0f81c541daf7d0dcc90bf5f90198c96a527d380ae52ffd9fb270c3a26e4b6c31,576C,LINE,FAT SP,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
0fada94b2570a7e8e408c3a4aa10882f276e0d09b2a8689214ed842164fd4138,67FA,LWPOLYLINE,FDT STRUCTURE,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
0fb145490fbc3faee62b6348eae1007a7a1d8c102b8555b233dce85d9e82e145,1809,LWPOLYLINE,Basic Map,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
0fb1835161f5bfeeb81649b2c79d3b7d5a92749a7acd754fbaaa825740c0f536,691D,TEXT,FDT STRUCTURE,PLATE 2,annotation,0,{},not_delivered_not_automatically_missing,,False,,False,
0fbfe1b9a2a1e3d652be2cbfaa54af324169320ed1532e016f4091e85fa23ae3,56DE,LWPOLYLINE,Expansion Core,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
0fde93f367f8245834256aaaf4502a982a890163a1b96c3ee710793f6774c93d,33E5,DIMENSION,SPAN KU,,annotation,0,{},not_delivered_not_automatically_missing,,False,,False,
103150dc5ad0485cbb7ba48ea31177a5924c5457ba2d3ab73a75cbe79c1ce671,672F,LWPOLYLINE,FDT STRUCTURE,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
1044e4a27611d01ea7b4eba2e99d50f6d7ca944e544fae72ffceeffa5d4b45f7,65BF,LWPOLYLINE,FDT STRUCTURE,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
106dacf431178e82021003a4063ac7e35558d470471c03c1e3224313e131ab6e,6607,LWPOLYLINE,FDT STRUCTURE,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
10723e8583f84d8f6fbd5f1fad165a1a82a5522216295922f518a45c3bcdc466,5761,TEXT,FAT SP,1,annotation,0,{},not_delivered_not_automatically_missing,,False,,False,
1088063c59e47571f5b9cf0aeeb352baab1bddadc2d4267ff17c3698c7e811d3,6859,ELLIPSE,FDT STRUCTURE,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
10acf763aa8bea31336ee4d073a93bada41297b93e0227b904634cb628dc2bfa,57DA,LWPOLYLINE,Service Core,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
10e421ac5f6efa48e6ac1cdada81490fb7f312d66e000cbd5bc793d28de4cd04,64F0,LWPOLYLINE,FDT STRUCTURE,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
10fbc87fb72c973b91ef0ccde7f996aabcc2315e7050872e3581f09780912907,15C5,MTEXT,HOMENUMBER,42,mapped,0,{},not_delivered_not_automatically_missing,,False,,False,
114a604f5312b7540b49ce430c2efb9e8aff15d1df9fd96e10c935172ce7d120,56F3,CIRCLE,napf1-f15,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
115ac199597370bea573cfd40a63ec82fd4dba67d0db774a67e8b0349cb57413,177F,LWPOLYLINE,Basic Map,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
1171393244df5dbbb26d9f293158cc833927604ca8bf0efe78afbb6063349c7b,57EB,LWPOLYLINE,Expansion Cores,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
1173abfb6884bda0d2d3e08cfd324677f2980838b06bdb9a5d27f2f780ec778c,57E7,LWPOLYLINE,Expansion Cores,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
117580eb32ac85fa1544e4691b40ff8b96fc2ee700a474a43a4d76d1fadea1ce,17B7,LWPOLYLINE,Basic Map,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
118746225af7d282efee90f6b345c339bf9286cc20f670d8bac2f10ec0d078fc,7973,INSERT,TEXT INFO,"COORDINAT=1.290732°124.876540°
ID=Slack Cable 24C.01
IDENTITY=Cable From EMR-29619-48C-01
IDENTITY2=BTS-UPLINK_FWA_OLT_TOMOHON_TO_EMR- 29619_FO_24C
MARKING=XXX
PLACE=MR.UP.MPT.S02.P003
SLACK=20",graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
11b062eb02a90df8d3f7f9ef4111115aa52087f64a9056cc9dffed607f17e6e5,19C8,INSERT,NEW POLE 7m(3 inches),FAT=16,mapped,0,{},not_delivered_not_automatically_missing,,False,,False,
11b1ddd3b205fe9ccbb73899a19d58342112b7e752815919faf3f3478d77fcac,65E0,LWPOLYLINE,FDT STRUCTURE,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
11b1fea242402951f871113102adae0bdf967237d3cfc2608d857693889d6c7f,56A1,LEADER,0,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
11b92e681dd26ffce1538472e0cdfdfe8c0a336abafc7cd6ba766bc5bde37311,5770,TEXT,FAT SP,1,annotation,0,{},not_delivered_not_automatically_missing,,False,,False,
11bd63d8f9b48e70688dea2300bc64320b2cd9a92ad681738c8871f5d0d77a9d,65F8,LWPOLYLINE,FDT STRUCTURE,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
11fea87bd4f5d6a280d26865e53c0cb763e33e72830f2a52c36b700e97e139f6,683C,LWPOLYLINE,FDT STRUCTURE,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
12193e9d6e17289a4298ff1d78031f454fad13c5b541f5475728e744168bbf21,6730,LWPOLYLINE,FDT STRUCTURE,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
12292f6d096ee1a34c37ab644831417ae6d3d5a1690f44e61929e666f40738c7,2E1F,TEXT,FAT CODE,FAT.A11,annotation,0,{},not_delivered_not_automatically_missing,,False,,False,
124b0c04eafc4836f0b74e7f3b3e42559e5aa5146cf92388a928856995e936ef,662C,LWPOLYLINE,FDT STRUCTURE,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
12a4674311ff99c42e1d685b63d0632d08529bc97de0fe1249e5f763c287b7c7,562C,CIRCLE,Service Core,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
12db80301fb6acf6a15a528632bfd18030cf896ad9c2f46b2d8548cb825f4f4a,68A7,LWPOLYLINE,FDT STRUCTURE,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
12dfc0a511596017a27a8ca3960d716207a6ab9a3c8857d7f273c7e3fbf51028,698B,LINE,Line,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
